Year,"GDP, billions £","Real GDP, billions £","Population, millions","Public Debt, mill £","Public Debt, GDP %",,"Interest Rate, %",,"Payments Balance, GDP %","Gov Spending, GDP %",,"GDP (per capita), K £","Real GDP (per capita), K £","Inflation, (CPI) %","Unemployment, %","Tax Rev, bill £","Tax Rev, GDP %","Income Tax Rate, avg %"
1897,1.616,164.103,40.079,0.5858,36.25,a,2.45,a,,12.72,a,0.040320367,4.094488385,1.5,3.3,0.17,10.27,
1898,1.705,171.48,40.454,0.5938515,34.83,a,2.35,a,,12.62,a,0.042146636,4.238888614,0.3,2.8,0.17,10,
1899,1.809,177.589,40.832,0.5913621,32.69,a,2.24,a,,12.67,a,0.044303487,4.349260384,0.7,2,0.17,9.6,
1900,1.885,177.011,41.214,0.5687045,30.17,a,2.22,a,,14.06,a,0.045736886,4.294924055,5.1,2.5,0.19,10.01,
1901,1.893,180.738,41.6,0.6292332,33.24,a,2.12,a,,17.25,a,0.045504808,4.344663462,0.5,3.3,0.2,10.67,
1902,1.906,183.457,41.965,0.6846352,35.92,a,2.3,a,,18.34,a,0.045418801,4.371666865,0,4,0.22,11.48,
1903,1.881,181.756,42.334,0.7151562,38.02,a,2.73,a,,18.41,a,0.044432371,4.293381207,0.4,4.7,0.23,12.38,
1904,1.881,183.846,42.705,0.7112061,37.81,a,2.73,a,,16.43,a,0.044046365,4.305022831,-0.2,6,0.23,12.22,
1905,1.949,189.23,43.08,0.7072921,36.29,a,2.76,a,0,17.82,a,0.045241411,4.392525534,0.4,5,0.23,11.91,
1906,2.033,193.978,43.459,0.6997586,34.42,a,2.75,a,0.04,15.18,a,0.046779723,4.463471318,0,3.6,0.24,11.57,
1907,2.113,197.667,43.84,0.6835555,32.35,a,2.59,a,0.04,14.44,a,0.048197993,4.508827555,1.2,3.7,0.24,11.26,
1908,2.011,190.316,44.225,0.669663,33.3,a,2.72,a,0.04,14.78,a,0.045472018,4.303357829,0.5,7.8,0.23,11.43,
1909,2.052,194.817,44.613,0.6646428,32.39,a,2.73,a,0.04,14.73,a,0.045995562,4.36682133,0.5,7.7,0.24,11.54,
1910,2.14,199.947,45.005,0.67731,31.65,a,2.66,a,0.04,15.95,a,0.047550272,4.442773025,0.9,4.7,0.22,10.36,
1911,2.227,206.544,45.4,0.6507294,29.22,a,2.56,a,0.04,14.97,a,0.049052863,4.549427313,0.1,3,0.29,13.01,
1912,2.327,209.596,45.133,0.635271,27.3,a,2.52,a,0.03,14.78,a,0.051558726,4.643963397,3,4,0.27,11.72,
1913,2.42,218.23,44.868,0.625086,25.83,a,2.51,a,0.03,14.97,a,0.05393599,4.863822769,-0.4,3.6,0.28,11.57,
1914,2.451,222.604,44.604,0.620103,25.3,a,2.43,a,0.03,15.61,a,0.054950229,4.990673482,-0.3,4.2,0.29,11.96,
1915,2.943,234.636,44.342,1.0768437,36.59,a,2.14,a,0.03,25.72,a,0.066370484,5.291506923,12.5,1.2,0.32,11.03,
1916,3.434,237.307,44.081,2.1071024,61.36,a,2.98,a,0.02,50.85,a,0.077902044,5.383430503,18.1,0.6,0.44,12.71,
1917,4.276,235.858,43.822,3.98737,93.25,a,3.98,a,0.02,55.7,a,0.09757656,5.382182465,25.2,0.7,0.67,15.69,
1918,5.108,240.391,43.564,5.8496816,114.52,a,4.56,a,0.02,56.64,a,0.117252778,5.518111285,22,0.8,0.81,15.84,
1919,5.484,221.514,43.308,7.414368,135.2,a,5.7,a,0.01,51.17,a,0.126627875,5.114851759,10.1,6,1,18.29,
1920,5.975,199.807,43.053,7.809325,130.7,a,6.27,a,1.68,33.22,a,0.138782431,4.640954173,15.4,3.9,1.49,24.89,
1921,4.907,180.404,44.072,7.55678,154,a,7.94,a,2.25,34.05,a,0.111340534,4.09339263,-8.6,16.9,1.63,33.24,
1922,4.458,189.982,44.268,7.6378914,171.33,a,8.56,a,2.15,36.39,a,0.100704798,4.291632782,-14,14.3,1.35,30.3,
1923,4.254,195.61,44.465,7.7286672,181.68,a,9.17,a,1.94,30.16,a,0.095670752,4.399190374,-6,11.7,1.12,26.43,
1924,4.366,204.842,44.663,7.627402,174.7,a,8.61,a,1.64,27.21,a,0.097754293,4.58639142,-0.7,10.3,1.04,23.71,
1925,4.508,212.051,44.862,7.58471,168.25,a,8.5,a,1.59,27.17,a,0.100485935,4.72673978,0.3,11.3,1,22.11,
1926,4.349,205.435,45.062,7.5459499,173.51,a,8.89,a,1.62,29.89,a,0.096511473,4.558941015,-0.8,12.5,1.02,23.44,
1927,4.599,221.234,45.263,7.54236,164,a,8.77,a,1.43,29.56,a,0.101606168,4.887744957,-2.4,9.7,1.03,22.32,
1928,4.599,223.209,45.464,7.5152259,163.41,a,8.88,a,1.35,29.17,a,0.101156959,4.909576808,-0.3,10.8,1.07,23.36,
1929,4.692,229.578,45.667,7.4879628,159.59,a,8.8,a,1.25,28.23,a,0.102743776,5.027218779,-0.9,10.4,1.08,23.01,
1930,4.615,227.751,45.87,7.456917,161.58,a,8.96,a,1.22,29.38,a,0.100610421,4.965140615,-2.8,16,1.05,22.73,
1931,4.316,217.185,46.074,7.4015084,171.49,a,9.41,a,1.27,32.06,a,0.093675392,4.713829926,-4.3,21.3,1.09,25.23,
1932,4.223,217.333,46.284,7.4223448,175.76,a,9.6,a,1.23,33.08,a,0.091241034,4.695639962,-2.6,22.1,1.08,25.61,
1933,4.298,224.245,46.495,7.6319586,177.57,a,9.38,a,1.15,31.93,a,0.092440047,4.82299172,-2.1,19.9,1.05,24.51,
1934,4.517,237.625,46.706,7.8103447,172.91,a,7.72,a,1.08,29.21,a,0.096711343,5.087676102,0,16.7,1.05,23.24,
1935,4.72,246.413,46.919,7.788472,165.01,a,7.09,a,0.99,28.56,a,0.100598905,5.251880901,0.7,15.5,1.07,22.71,
1936,4.987,258.164,47.133,7.7837096,156.08,a,6.7,a,0.92,28.65,a,0.105806972,5.477351325,0.7,13.1,1.09,21.96,
1937,5.334,267.199,47.348,7.784973,145.95,a,6.3,a,0.84,28.62,a,0.112655234,5.643300667,3.4,10.8,1.16,21.79,
1938,5.502,269.272,47.563,8.013663,145.65,a,6.28,a,0.8,28.87,a,0.115678153,5.661375439,1.6,12.9,1.22,22.22,
1939,5.918,281.122,47.78,8.1496778,137.71,a,5.95,a,0.72,29.14,a,0.123859355,5.883675178,2.8,9.3,1.29,21.74,
1940,7.183,309.016,47.997,7.8991451,109.97,a,5.06,a,0.58,29.71,a,0.149655187,6.438235723,16.8,6,1.43,19.97,
1941,8.654,335.924,48.216,10.3666266,119.79,a,4.29,a,0.48,54.08,a,0.179483989,6.967064875,10.8,2.2,1.81,20.87,
1942,9.482,341.947,48.42,13.0415428,137.54,a,4.39,a,0.43,59.8,a,0.19582817,7.062102437,7.1,0.8,2.49,26.3,
1943,10.093,347.822,48.624,15.8227961,156.77,a,4.65,a,0.4,64.37,a,0.207572392,7.153298782,3.4,0.6,3.25,32.2,
1944,10.18,332.517,48.829,18.562212,182.34,a,5.14,a,0.39,65.45,a,0.208482664,6.809826128,2.7,0.6,3.48,34.22,
1945,9.908,317.311,49.035,21.3656112,215.64,a,5.77,a,0.4,70.34,a,0.202059753,6.471112471,2.8,1.3,3.7,37.33,
1946,9.968,309.51,49.242,23.6361216,237.12,a,6.06,a,0.42,64.81,a,0.202428821,6.285487998,3.1,2.5,3.77,37.82,
1947,10.772,305.56,49.45,25.6308968,237.94,a,5.84,a,0.9,49.06,a,0.217836198,6.17917088,7,3.1,3.77,35.01,
1948,11.974,314.496,49.659,25.6207678,213.97,a,5.39,a,2.96,39.21,a,0.241124469,6.333111823,7.7,1.8,4.06,33.87,
1949,12.726,324.95,49.868,25.1682102,197.77,a,4.83,a,2.88,36,a,0.255193711,6.516202775,2.8,1.6,5.01,39.38,
1950,13.308,335.288,50.079,25.8028812,193.89,a,4.71,a,2.79,35.89,a,0.265740131,6.695181613,3.1,1.6,5.38,40.41,
1951,14.784,344.425,50.29,25.9222656,175.34,a,4.01,a,1.98,38.01,a,0.293974945,6.848777093,9.1,1.3,5.57,37.69,
1952,15.983,344.614,50.536,25.8908617,161.99,a,4.09,a,2.12,39.07,a,0.31626959,6.819178407,9.2,2.2,6.01,37.61,
1953,17.121,357.84,50.784,26.0513136,152.16,a,4,a,2.18,38.41,a,0.337133743,7.0463138,3.1,1.8,6.34,37.02,
1954,18.126,372.531,51.032,26.5835916,146.66,a,3.81,a,2.11,36.24,a,0.355188901,7.299949052,1.8,1.5,6.46,35.66,
1955,19.49,385.425,51.282,26.933231,138.19,a,3.96,a,2.32,34.95,a,0.38005538,7.515795016,4.5,1.2,6.73,34.52,
1956,20.956,389.004,51.533,27.0395268,129.03,a,3.82,a,2.33,35.1,a,0.406652048,7.548638736,4.9,1.3,7.18,34.28,
1957,22.105,395.426,51.785,27.007889,122.18,a,3.65,a,2.31,34.55,a,0.42686106,7.635917737,3.7,1.6,7.68,34.76,
1958,23.05,396.699,52.039,27.23127,118.14,a,3.91,a,2.87,35.12,a,0.442937028,7.623109591,3,2.2,8.07,35.03,
1959,24.348,413.664,52.294,27.3768912,112.44,a,3.76,a,2.97,35.21,a,0.465598348,7.910353004,0.6,2.3,8.48,34.84,
1960,25.977,435.716,52.55,27.7330452,106.76,a,3.99,a,2.87,35.2,a,0.49432921,8.291455756,1,1.7,8.54,32.88,
1961,27.413,445.87,52.807,28.2518378,103.06,a,4.59,a,3.09,37.6,a,0.519116784,8.443388187,3.4,1.6,9.07,33.07,
1962,28.711,450.695,53.111,28.6736757,99.87,a,4.38,a,3.15,38.31,a,0.540584813,8.485906874,4.3,2.1,10.07,35.08,
1963,30.409,470.067,53.417,29.8464335,98.15,a,4.23,a,3.38,38.31,a,0.569275699,8.799951326,2,2.6,10.53,34.63,
1964,33.228,495.835,53.725,30.2275116,90.97,a,4.07,a,3.4,38.35,a,0.618483015,9.229129828,3.3,1.7,11.13,33.49,
1965,35.888,506.915,54.034,30.4402016,84.82,a,4.06,a,3.73,39.35,a,0.664174409,9.381408002,4.8,1.5,12.32,34.33,
1966,38.189,516.673,54.345,31.3417123,82.07,a,4.07,a,3.73,40.04,a,0.702714141,9.507277578,3.9,1.6,13.88,36.35,
1967,40.281,529.418,54.658,31.9871421,79.41,a,4.25,a,3.73,43.43,a,0.736964397,9.686011197,2.5,2.5,15.03,37.32,
1968,43.656,551.664,54.973,34.1957448,78.33,a,4.37,a,3.91,43.73,a,0.794135303,10.03518091,4.7,2.5,16.62,38.07,
1969,47.023,563.097,55.289,33.9835221,72.27,a,4.33,a,3.76,42.08,a,0.850494673,10.18461177,5.4,2.5,19.03,40.47,
1970,51.696,575.736,55.608,33.0802704,63.99,a,4.1,a,3.83,41.77,a,0.92965041,10.35347432,6.4,3,21.15,40.92,
1971,57.67,587.805,55.928,33.442833,57.99,a,3.89,a,3.71,42.03,a,1.031147189,10.51003075,9.4,4.1,22.99,39.86,
1972,64.621,609.275,55.97,35.8388066,55.46,a,3.54,a,3.96,40.84,a,1.154564946,10.88574236,7.1,4.3,24.61,38.09,
1973,74.545,653.124,56.013,36.884866,49.48,a,3.67,a,4.04,40.98,a,1.330851767,11.66022173,9.2,3.7,26.34,35.33,36.5
1974,84.513,644.539,56.055,40.4563731,47.87,a,4.27,a,4.49,46.4,a,1.507679957,11.498332,16,3.7,29.74,35.18,40
1975,106.717,640.534,56.097,46.4005516,43.48,a,3.95,a,4.56,48.28,a,1.902365545,11.41832897,24.2,4.5,37.87,35.48,42.25
1976,126.274,657.418,56.14,56.5833794,44.81,a,4.27,a,4.71,46.3,a,2.249269683,11.71033131,16.5,5.4,47.9,37.93,42.25
1977,146.973,673.025,56.182,67.166661,45.7,a,4.33,a,4.7,42.09,a,2.616015806,11.97937062,15.8,5.6,56.44,38.4,41.5
1978,169.344,694.765,56.225,79.1852544,46.76,a,4.26,a,4.66,42.49,a,3.011898622,12.35686972,8.3,5.5,62.98,37.19,39.75
1979,199.22,713.38,56.267,86.879842,43.61,a,4.5,a,4.6,42.75,a,3.540618835,12.67847939,13.4,5.4,69.84,35.06,33.75
1980,233.184,698.528,56.31,98.1937824,42.11,a,4.87,a,4.68,44.54,a,4.141076185,12.40504351,18,6.8,85.02,36.46,34
1981,256.279,689.289,56.358,113.787876,44.4,a,5.16,a,5,45.29,a,4.547340218,12.23054402,11.9,9.6,100.95,39.39,34
1982,281.024,703.711,56.465,125.196192,44.55,a,5.08,a,5.05,45.56,a,4.976959178,12.46278225,8.6,10.7,119.58,42.55,34
1983,307.207,729.215,56.572,132.4983791,43.13,a,4.52,a,5.02,43.2,a,5.430371915,12.89003394,4.6,11.5,129.79,42.25,34
1984,329.913,748.691,56.68,143.8090767,43.59,a,4.36,a,4.86,42.59,a,5.820624559,13.2090861,5,11.8,137.96,41.82,34
1985,361.758,775.643,56.788,157.183851,43.45,a,4.42,a,4.73,41.71,a,6.370324716,13.65857223,6.1,11.4,147.66,40.82,34
1986,389.149,806.765,56.896,162.7031969,41.81,a,4.57,a,4.85,40.76,a,6.839654809,14.17964356,3.4,11.3,157.84,40.56,33.25
1987,428.665,843.572,57.004,167.779481,39.14,a,4.11,a,4.68,38.4,a,7.519910883,14.79847028,4.2,10.4,164.64,38.41,31.75
1988,478.51,886.02,57.112,167.382798,34.98,a,3.76,a,4.34,36.28,a,8.378449363,15.51372741,4.9,8.6,178.85,37.38,27.75
1989,525.274,906.236,57.221,153.905282,29.3,a,3.52,a,4.22,34.25,a,9.179741703,15.83747226,7.8,7.2,196.97,37.5,27.75
1990,570.283,913.299,57.33,152.2085327,26.69,a,3.3,a,4.2,35.23,a,9.947374847,15.93055992,9.5,7.1,211.2,37.03,27.75
1991,598.664,900.58,57.439,151.2823928,25.27,a,3.11,a,4.5,36.45,a,10.42260485,15.67889413,5.9,8.9,221.61,37.02,27.75
1992,622.08,901.901,57.604,166.09536,26.7,a,2.7,a,4.52,37.97,a,10.79925005,15.65691619,3.7,9.9,231.54,37.22,27.5
1993,654.196,921.945,57.77,202.6045012,30.97,a,3.25,a,5.28,39.7,a,11.32414748,15.9588887,1.6,10.4,227.43,34.76,27.5
1994,692.987,961.407,57.936,249.8218135,36.05,a,3,a,5.96,39.18,a,11.96125035,16.5942937,2.4,9.5,235.17,33.94,27.5
1995,733.266,990.751,58.103,290.006703,39.55,a,3.68,a,5.64,39.42,a,12.62010567,17.05163245,3.5,8.6,255.86,34.89,27.5
1996,781.726,1019.337,58.27,322.071112,41.2,a,3.85,a,5.81,38.93,a,13.41558263,17.49334134,2.4,8.1,276.62,35.39,27
1997,830.013,1054.232,58.438,348.0244509,41.93,a,3.8,a,5.96,37.15,a,14.20330949,18.04017934,3.1,6.9,288.65,34.78,26.5
1998,879.152,1094.704,58.606,352.8916128,40.14,a,3.37,a,5.92,36.22,a,15.00105791,18.6790431,3.4,6.2,317,36.06,26.5
1999,928.871,1134.723,58.775,351.5776735,37.85,a,3.15,a,6.66,35.81,a,15.80384517,19.30621863,1.5,6,336.36,36.21,24
2000,976.282,1185.305,58.944,345.4085716,35.38,a,2.59,a,6.73,34.91,a,16.56287324,20.10900176,3,5.4,359.71,36.84,23.5
2001,1021.625,1222.65,59.114,312.412925,30.58,a,2.58,a,7.18,35.83,a,17.28228508,20.68291775,1.8,5.1,382.94,37.48,23.5
2002,1075.368,1255.142,59.455,315.5129712,29.34,a,2.08,a,7.28,36.18,a,18.08709108,21.11078967,1.7,5.2,389.9,36.26,23.5
2003,1139.441,1299.381,59.799,347.0737286,30.46,a,1.86,a,7.01,36.9,a,19.05451596,21.72914263,2.9,5,396.08,34.76,23.5
2004,1202.37,1337.782,60.145,382.834608,31.84,a,1.87,a,6.8,37.85,a,19.99118796,22.24261368,3,4.8,423.31,35.21,23.5
2005,1254.292,1365.685,60.493,423.950696,33.8,a,1.94,a,6.88,39.21,a,20.73449821,22.57591787,2.8,4.8,453.2,36.13,23.5
2006,1328.597,1401.29,60.843,463.0160545,34.85,a,1.98,a,6.76,39.4,a,21.83648078,23.03124435,3.2,5.4,487.76,36.71,23.5
2007,1405.796,1449.861,61.194,500.0416372,35.57,a,2,a,6.68,39.08,a,22.97277511,23.69286205,4.3,5.3,518.85,36.91,23.5
2008,1433.87,1433.871,61.548,524.939807,36.61,a,2.14,a,6.89,40.61,a,23.2967765,23.29679275,4,5.7,549.05,38.29,22.5
2009,1393.854,1371.163,61.904,616.9197804,44.26,a,2.25,a,7.79,45.47,a,22.5163802,22.14982877,-0.5,7.6,535.87,38.45,22.5
2010,1432.9,1395.312,62.262,759.437,53,a,2.14,a,8.12,46.97,a,23.01403745,22.41033054,4.6,7.9,516,36.01,22.5
2011,1499,1410.903,62.649,905.2461,60.39,a,3.03,a,8.13,46.31,a,23.92695813,22.52075851,5.2,8.1,555.43,37.05,22.5
2012,1546.7,1414.821,63.067,1104.03446,71.38,a,3.15,a,8.38,44.89,a,24.52471181,22.43361822,3.2,8,576.63,37.28,22.5
2013,1575.7,1438.339,63.488,1184.9264,75.2,e,3.04,a,8.83,42.77,a,24.81886341,22.65528919,3,7.6,593.4,37.66,22.5
2014,1641,,63.912,1257.9906,76.66,e,2.91,e,8.73,43.51,e,25.6759294,22.84655,,,619.8,37.77,22.5
2015,1720.4,,64.338,1354.98704,78.76,e,3.05,g,8.7,42.51,g,26.74002922,23.001,,,648.1,37.67,
2016,1888,,,1453.76,77,,,,,,,,,,,675.4,37.75,
2017,1956,,,1486.56,76,,,,,,,,,,,679.1,37.8,
2018,2038,,,1528.5,75,,,,,,,,,,,,,
2019,2124,,,1529.28,72,,,,,,,,,,,,,
