Year,GDP-UK billions,Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,Total Spending-total percent GDP,,Pensions-total percent GDP,
1901,1.893,41.6,33.24,a,2.12,a,0,17.25,a,0,a
1902,1.906,41.965,35.92,a,2.3,a,0,18.34,a,0,a
1903,1.881,42.334,38.02,a,2.73,a,0,18.41,a,0,a
1904,1.881,42.705,37.81,a,2.73,a,0,16.43,a,0,a
1905,1.949,43.08,36.29,a,2.76,a,0,17.82,a,0,a
1906,2.033,43.459,34.42,a,2.75,a,0.04,15.18,a,0.04,a
1907,2.113,43.84,32.35,a,2.59,a,0.04,14.44,a,0.04,a
1908,2.011,44.225,33.3,a,2.72,a,0.04,14.78,a,0.04,a
1909,2.052,44.613,32.39,a,2.73,a,0.04,14.73,a,0.04,a
1910,2.14,45.005,31.65,a,2.66,a,0.04,15.95,a,0.04,a
1911,2.227,45.4,29.22,a,2.56,a,0.04,14.97,a,0.04,a
1912,2.327,45.133,27.3,a,2.52,a,0.03,14.78,a,0.03,a
1913,2.42,44.868,25.83,a,2.51,a,0.03,14.97,a,0.03,a
1914,2.451,44.604,25.3,a,2.43,a,0.03,15.61,a,0.03,a
1915,2.943,44.342,36.59,a,2.14,a,0.03,25.72,a,0.03,a
1916,3.434,44.081,61.36,a,2.98,a,0.02,50.85,a,0.02,a
1917,4.276,43.822,93.25,a,3.98,a,0.02,55.7,a,0.02,a
1918,5.108,43.564,114.52,a,4.56,a,0.02,56.64,a,0.02,a
1919,5.484,43.308,135.2,a,5.7,a,0.01,51.17,a,0.01,a
1920,5.975,43.053,130.7,a,6.27,a,1.68,33.22,a,1.68,a
1921,4.907,44.072,154,a,7.94,a,2.25,34.05,a,2.25,a
1922,4.458,44.268,171.33,a,8.56,a,2.15,36.39,a,2.15,a
1923,4.254,44.465,181.68,a,9.17,a,1.94,30.16,a,1.94,a
1924,4.366,44.663,174.7,a,8.61,a,1.64,27.21,a,1.64,a
1925,4.508,44.862,168.25,a,8.5,a,1.59,27.17,a,1.59,a
1926,4.349,45.062,173.51,a,8.89,a,1.62,29.89,a,1.62,a
1927,4.599,45.263,164,a,8.77,a,1.43,29.56,a,1.43,a
1928,4.599,45.464,163.41,a,8.88,a,1.35,29.17,a,1.35,a
1929,4.692,45.667,159.59,a,8.8,a,1.25,28.23,a,1.25,a
1930,4.615,45.87,161.58,a,8.96,a,1.22,29.38,a,1.22,a
1931,4.316,46.074,171.49,a,9.41,a,1.27,32.06,a,1.27,a
1932,4.223,46.284,175.76,a,9.6,a,1.23,33.08,a,1.23,a
1933,4.298,46.495,177.57,a,9.38,a,1.15,31.93,a,1.15,a
1934,4.517,46.706,172.91,a,7.72,a,1.08,29.21,a,1.08,a
1935,4.72,46.919,165.01,a,7.09,a,0.99,28.56,a,0.99,a
1936,4.987,47.133,156.08,a,6.7,a,0.92,28.65,a,0.92,a
1937,5.334,47.348,145.95,a,6.3,a,0.84,28.62,a,0.84,a
1938,5.502,47.563,145.65,a,6.28,a,0.8,28.87,a,0.8,a
1939,5.918,47.78,137.71,a,5.95,a,0.72,29.14,a,0.72,a
1940,7.183,47.997,109.97,a,5.06,a,0.58,29.71,a,0.58,a
1941,8.654,48.216,119.79,a,4.29,a,0.48,54.08,a,0.48,a
1942,9.482,48.42,137.54,a,4.39,a,0.43,59.8,a,0.43,a
1943,10.093,48.624,156.77,a,4.65,a,0.4,64.37,a,0.4,a
1944,10.18,48.829,182.34,a,5.14,a,0.39,65.45,a,0.39,a
1945,9.908,49.035,215.64,a,5.77,a,0.4,70.34,a,0.4,a
1946,9.968,49.242,237.12,a,6.06,a,0.42,64.81,a,0.42,a
1947,10.772,49.45,237.94,a,5.84,a,0.9,49.06,a,0.9,a
1948,11.974,49.659,213.97,a,5.39,a,2.96,39.21,a,2.96,a
1949,12.726,49.868,197.77,a,4.83,a,2.88,36,a,2.88,a
1950,13.308,50.079,193.89,a,4.71,a,2.79,35.89,a,2.79,a
1951,14.784,50.29,175.34,a,4.01,a,1.98,38.01,a,1.98,a
1952,15.983,50.536,161.99,a,4.09,a,2.12,39.07,a,2.12,a
1953,17.121,50.784,152.16,a,4,a,2.18,38.41,a,2.18,a
1954,18.126,51.032,146.66,a,3.81,a,2.11,36.24,a,2.11,a
1955,19.49,51.282,138.19,a,3.96,a,2.32,34.95,a,2.32,a
1956,20.956,51.533,129.03,a,3.82,a,2.33,35.1,a,2.33,a
1957,22.105,51.785,122.18,a,3.65,a,2.31,34.55,a,2.31,a
1958,23.05,52.039,118.14,a,3.91,a,2.87,35.12,a,2.87,a
1959,24.348,52.294,112.44,a,3.76,a,2.97,35.21,a,2.97,a
1960,25.977,52.55,106.76,a,3.99,a,2.87,35.2,a,2.87,a
1961,27.413,52.807,103.06,a,4.59,a,3.09,37.6,a,3.09,a
1962,28.711,53.111,99.87,a,4.38,a,3.15,38.31,a,3.15,a
1963,30.409,53.417,98.15,a,4.23,a,3.38,38.31,a,3.38,a
1964,33.228,53.725,90.97,a,4.07,a,3.4,38.35,a,3.4,a
1965,35.888,54.034,84.82,a,4.06,a,3.73,39.35,a,3.73,a
1966,38.189,54.345,82.07,a,4.07,a,3.73,40.04,a,3.73,a
1967,40.281,54.658,79.41,a,4.25,a,3.73,43.43,a,3.73,a
1968,43.656,54.973,78.33,a,4.37,a,3.91,43.73,a,3.91,a
1969,47.023,55.289,72.27,a,4.33,a,3.76,42.08,a,3.76,a
1970,51.696,55.608,63.99,a,4.1,a,3.83,41.77,a,3.83,a
1971,57.67,55.928,57.99,a,3.89,a,3.71,42.03,a,3.71,a
1972,64.621,55.97,55.46,a,3.54,a,3.96,40.84,a,3.96,a
1973,74.545,56.013,49.48,a,3.67,a,4.04,40.98,a,4.04,a
1974,84.513,56.055,47.87,a,4.27,a,4.49,46.4,a,4.49,a
1975,106.717,56.097,43.48,a,3.95,a,4.56,48.28,a,4.56,a
1976,126.274,56.14,44.81,a,4.27,a,4.71,46.3,a,4.71,a
1977,146.973,56.182,45.7,a,4.33,a,4.7,42.09,a,4.7,a
1978,169.344,56.225,46.76,a,4.26,a,4.66,42.49,a,4.66,a
1979,199.22,56.267,43.61,a,4.5,a,4.6,42.75,a,4.6,a
1980,233.184,56.31,42.11,a,4.87,a,4.68,44.54,a,4.68,a
1981,256.279,56.358,44.4,a,5.16,a,5,45.29,a,5,a
